,UserId,VenueId,Tags
10,[132],"[45393, 45393, 45393, 45393, 45393, 45393]","['coffee', 'coffee shop', 'oatmeal', 'starbucks', 'coffee', 'coffee shop', 'oatmeal', 'starbucks', 'coffee', 'coffee shop', 'oatmeal', 'starbucks', 'coffee', 'coffee shop', 'oatmeal', 'starbucks', 'coffee', 'coffee shop', 'oatmeal', 'starbucks', 'coffee', 'coffee shop', 'oatmeal', 'starbucks']"
11,[133],"[31853, 31853, 27720, 27720, 47339, 47339, 47339, 47339]","['coffee', 'coffee', 'chambers', 'coffee', 'kedai kopi', 'starbucks', 'chambers', 'coffee', 'kedai kopi', 'starbucks', 'coffee', 'coffee', 'coffee', 'coffee']"
12,[134],"[23055, 23055, 404, 404]","['knishes', 'knishes', 'steak', 'steak']"
13,[170],"[908, 908, 8713, 7913, 7913, 7913, 21324, 1086, 7792, 5575, 5575, 47, 6510, 6510, 7095, 7095, 514, 514, 514, 514, 8223, 8223, 2578, 2578, 6506, 395, 470, 16079, 6850]","['bagels', 'cream cheese', 'ice coffee', 'orangina', 'perry ellis', 'bagels', 'cream cheese', 'ice coffee', 'orangina', 'perry ellis', 'burgers', 'cheese fries', 'shakes', 'spiked shakes', 'waffle fries', 'bourique', 'boutique', 'cheese', 'coffee', 'cupcake', 'cupcakes', ""foursquare founders' fave"", 'frat boys', 'free wifi', 'grilled cheese', 'ice coffee', 'laptop warriors', 'lots of power outlets', 'loud', 'undergrads', 'wine', 'bourique', 'boutique', 'cheese', 'coffee', 'cupcake', 'cupcakes', ""foursquare founders' fave"", 'frat boys', 'free wifi', 'grilled cheese', 'ice coffee', 'laptop warriors', 'lots of power outlets', 'loud', 'undergrads', 'wine', 'bourique', 'boutique', 'cheese', 'coffee', 'cupcake', 'cupcakes', ""foursquare founders' fave"", 'frat boys', 'free wifi', 'grilled cheese', 'ice coffee', 'laptop warriors', 'lots of power outlets', 'loud', 'undergrads', 'wine', '24\\/7', 'coffee', 'expensive', 'starbucks', 'tea', 'unlocked bathrooms', 'wifi', '24 hours', 'a-lite', 'blintzes', 'bon appetit mag', 'borscht', 'breakfast', 'deliciousness', 'free wi-fi', 'gallery', 'hipsters', 'nymag', 'people hot spot', 'people vip', 'people vip badge', 'pierogies', 'raspberry iced tea', 'russians', 'socialite', 'ukraine', 'ukrainian', 'veselka', 'waffles', 'italian food', 'pasta', 'zagat-rated', 'restaurant', 'vegan', 'restaurant', 'vegan', 'bagels', 'cafe', 'coffee', 'desserts', 'green tea cookies', 'irving farm', 'local food', 'outdoor seating', 'tea', 'wifi', 'cash only', 'classic establishment', 'classic pizza', 'old new york', 'pizza', 'top 3 pizza', 'zagat', 'cash only', 'classic establishment', 'classic pizza', 'old new york', 'pizza', 'top 3 pizza', 'zagat', 'ramen', 'ramen', 'brunch', 'pizza', 'brunch', 'pizza', 'brunch', 'pizza', 'brunch', 'pizza', 'bakery', 'bread', 'cafe', 'cupcakes', 'bakery', 'bread', 'cafe', 'cupcakes', 'bronte burger', 'great coffee', 'bronte burger', 'great coffee', 'diner', 'fried chicken', 'green', 'karaoke bar', 'macrobiotic', 'sushi', 'vegan', 'vegetarian', 'beer', 'burgers', ""mac 'n cheese"", 'salads', 'sandwiches', 'wine', 'italian', 'pasta', 'wine', 'brunch', 'norwegian', 'outdoor seating', 'smorgas', 'swedish', 'waffles', 'cash only']"
14,[190],"[23209, 1407, 1211, 1119, 1119, 6506]","['asian', 'awesome ramen', 'buroughs', 'dope ramen', 'foodie', 'good for groups', 'japanese', 'long wait', 'noodles', 'pork buns', 'ramen', 'restaurant', 'wheelchair access', '\xef\xbf\xbd\xef\xbf\xbd', 'cantonese', 'dim sum', 'beer', 'brunch', 'cupcake', 'cupcakes', 'cute', 'muffins', 'rice krispy treats', 'vegetarian', 'wine', 'bento', 'japanese', 'sushi', 'bento', 'japanese', 'sushi', 'diner', 'fried chicken', 'green', 'karaoke bar', 'macrobiotic', 'sushi', 'vegan', 'vegetarian']"
15,[191],"[115522, 115522]","['bravo', 'pizza', 'pizzeria', 'zagat-rated', 'bravo', 'pizza', 'pizzeria', 'zagat-rated']"
16,[245],"[12862, 12862, 1155]","['brunch', 'chelsea market', 'gluten-free', 'lunch', 'brunch', 'chelsea market', 'gluten-free', 'lunch', 'breakfast', 'brunch', 'coffee', 'food truck', 'good_mark', 'hipster', 'mud coffee', 'wine & beer', 'x-marked']"
17,[257],"[371, 371, 422, 422, 9854, 9854]","['clued', 'good_mark', 'izakaya', 'j-punks', 'japanese', 'sake', 'clued', 'good_mark', 'izakaya', 'j-punks', 'japanese', 'sake', 'balthazar bread', 'bistro', 'french', 'balthazar bread', 'bistro', 'french', 'good for groups', 'good for groups']"
18,[287],"[37983, 3219, 23374, 23374, 65011, 16910, 36]","['bolt', 'coffee', 'la colombe', 'surfing', 'zagat-rated', 'coffee', 'diner', 'greasy spoon', 'manhattan', 'old school', 'upper west side', 'coffee', 'diner', 'greasy spoon', 'manhattan', 'old school', 'upper west side', 'art', 'baguettes', 'bread', 'breakfast', 'brooklyn', 'chai latte', 'coffee', 'cold brew', 'croissants', 'espresso', 'fresh lemonade', 'fresh oj', 'green tea latte', 'hot chocolate', 'iced coffee', 'iced tea', 'loose leaf tea', 'mocha', 'stumptown', 'vanilla latte', 'wifi', 'delivery', 'guacamole', 'margaritas', 'outdoor seating', 'private rooms', 'salsa', 'sangria', 'tacos', 'tequila', 'french', 'soho', 'zagat-rated', 'zagats']"
19,[288],"[9953, 9953, 309, 549, 549, 21455, 21455, 23989, 23989, 654, 654]","['cafe', 'coffee', 'free wifi', 'tube sandwiches', 'cafe', 'coffee', 'free wifi', 'tube sandwiches', 'dessert', 'icecream', 'bastille day', 'bravo', 'brooklyn', 'brunch', 'coq a vin', 'croque madame', 'french', 'futbol', 'jazz', 'live music', 'moules frites', 'park', 'ricard', 'sidewalk seating', 'bastille day', 'bravo', 'brooklyn', 'brunch', 'coq a vin', 'croque madame', 'french', 'futbol', 'jazz', 'live music', 'moules frites', 'park', 'ricard', 'sidewalk seating', '1127', 'coffee', 'dinges', 'food truck', 'food wagon', 'goesting', 'spekuloos', 'street cart', 'wafels', 'waffle truck', 'wmd', '1127', 'coffee', 'dinges', 'food truck', 'food wagon', 'goesting', 'spekuloos', 'street cart', 'wafels', 'waffle truck', 'wmd', 'bacon', 'bar', 'bourbon', 'brunch', 'cocktails', 'meaty', 'trendy', 'whiskey', 'bacon', 'bar', 'bourbon', 'brunch', 'cocktails', 'meaty', 'trendy', 'whiskey', 'bbq', 'bbq pitmaster', 'bourbon', 'burger', 'comfort food', 'kansas city ribs', 'macaroni and cheese', 'north carolina bbq', 'nymag', 'pat lafrieda', 'people', 'restaurant', 'socialite', 'tequila', 'tlc summer', 'bbq', 'bbq pitmaster', 'bourbon', 'burger', 'comfort food', 'kansas city ribs', 'macaroni and cheese', 'north carolina bbq', 'nymag', 'pat lafrieda', 'people', 'restaurant', 'socialite', 'tequila', 'tlc summer']"
20,[312],"[13424, 656]","[""80's"", 'authentic', 'garden', 'heavy metal', 'mexican', 'no guac', 'outdoor seating', 'patio', 'taco', 'tecate or byob', 'zagat-rated', 'patio', 'portuguese']"
21,[334],[12867],"['curry', 'design standout', 'lunch special', 'pad thai', 'peanut dressing', 'thai', 'vegetarian friendly', 'zagat-rated']"
22,[365],[1543],"['brooklyn', 'cafe', 'coffee', 'coffee shop', 'new york', 'new york city', 'ny', 'nyc', 'park slope', 'pastries', 'restaurant', 'strong coffee', 'wifi']"
23,[384],[35085],"['andy cohen', 'bravo', 'coffee', 'douchbag', 'douchbags', 'fashionista', 'socialite', 'starbucks']"
24,[429],"[9945, 9945, 108420, 108420, 19939, 928, 12347, 12347, 809]","['barbecue', 'bbq', 'beer', 'bourbon', 'cider', 'pork', 'ribs', 'sausage', 'barbecue', 'bbq', 'beer', 'bourbon', 'cider', 'pork', 'ribs', 'sausage', 'bravo', 'brooklyn', 'brooklyn lager', 'douchebag', 'gossip girl', 'pennant ale', 'pizza', 'socialite', 'bravo', 'brooklyn', 'brooklyn lager', 'douchebag', 'gossip girl', 'pennant ale', 'pizza', 'socialite', 'alcohol', 'bar', 'breakfast', 'cocktails', 'drinks', 'food', 'friendly staff', 'great food', ""happy are those who eat at jo's"", 'happy hour', 'late night', 'mixology', 'puma social hot spot', 'socialite', 'awesome bacon', 'bbq', 'bravo', 'brooklyn', 'cash only', 'classic ny', 'creamed spinach', 'financial district', 'gossip girl', 'grumpy waiters', 'lunch', 'porterhouse', 'schlag', 'sundae', 'time out', 'time out new york', 'timeout', 'timeout magazine', 'timeoutny', 'top chef', 'wsj', 'wsj lunchbox', 'wsj urban adventurer', 'zagat rated', '24 hours', 'brunch', 'diner', 'east village', '24 hours', 'brunch', 'diner', 'east village', '837', 'bar', 'cocktails', 'dessert', 'launch my line', 'old new york', 'restaurant', 'seafood', 'steak', 'suits', 'wine']"
25,[459],"[6251, 1782104, 1782104, 24154, 6305, 8800]","['art', 'brunch', 'free pool', 'green chiles', 'kat', 'grilled cheese', 'sandwiches', 'grilled cheese', 'sandwiches', 'bagelshop', 'brunch', 'french', 'restaurant', 'unlimited mussels', 'socialite', 'blackbook', 'bon appetit mag', 'douchebag', 'douchebags', 'fresh tofu', 'gossip girl', 'iron chef', 'masaharu morimoto', 'miso', 'nymag', 'pizza', 'sushi pizza', 'ty ku']"
26,[462],"[2585, 2585, 1177, 1177, 1441, 21795]","['bar', 'beer', 'food', 'happy hour', 'irish', 'music', 'roof deck', 'sports bar', 'trendy', 'bar', 'beer', 'food', 'happy hour', 'irish', 'music', 'roof deck', 'sports bar', 'trendy', 'bar', 'cheese', 'far far away', 'food', 'gelato', 'gluten free menu', 'italian', 'italian restaurant', 'joe bastianich', 'mario', 'mario batali', 'meat', 'new york', 'new york city', 'ny', 'nyc', 'olive oil', 'pasta', 'pizza', 'pizza place', 'restaurant', 'wine', 'wine bar', 'zagat', 'zagat-rated', 'bar', 'cheese', 'far far away', 'food', 'gelato', 'gluten free menu', 'italian', 'italian restaurant', 'joe bastianich', 'mario', 'mario batali', 'meat', 'new york', 'new york city', 'ny', 'nyc', 'olive oil', 'pasta', 'pizza', 'pizza place', 'restaurant', 'wine', 'wine bar', 'zagat', 'zagat-rated', 'belgian', 'brunch', 'burgers', 'good beer', 'import beer', 'mussels', 'pasta', 'restaurant', 'seafood', 'steak', ':coffee', 'clover', 'latte', 'tea', 'table seating', 'espresso', 'pastries', 'synesso', 'coffee cupping', 'classes', 'art', 'rocket espresso machine', 'guest espresso', 'merchandise', '', 'cafe', 'coffee', 'no wi-fi', 'park slope']"
27,[542],"[15071, 945]","['cafe', 'coffee', 'burrito', 'full bar', 'late night', 'mexican food', 'tacos']"
28,[550],"[7920, 7920, 575, 575, 170700, 1063, 1063, 181971, 181971, 100422]","['breakfast', 'comfort food', 'dinner', 'meatpacking district', 'restaurant', 'breakfast', 'comfort food', 'dinner', 'meatpacking district', 'restaurant', 'brunch', 'open 24 hours', 'brunch', 'open 24 hours', 'asian fusion', 'ayurvedic', 'taoist', 'thai', 'union square', '24 hours', 'amazing pie', 'breakfast', 'burgers', 'coffee', 'dinner', 'restaurant', 'steak', '24 hours', 'amazing pie', 'breakfast', 'burgers', 'coffee', 'dinner', 'restaurant', 'steak', 'greek', 'mediterranean', 'seafood', 'greek', 'mediterranean', 'seafood', 'bowling alley', 'brunch', 'dog run', 'fried chicken', 'gallery', 'karaoke bar', 'playn ground', 'record shop', 'ski area', 'vegetarian']"
29,[556],"[17741, 17741, 9953, 114, 114, 7908, 61274, 61274, 4472, 12047, 6287, 6287, 884, 884, 15351, 15351, 12493, 12493, 608, 1407, 1407, 16816, 11355, 21413, 12121, 12121, 12121, 6187, 6187, 6187, 6187, 6187, 630, 1060, 1060, 14113, 7909, 12214, 16653]","['bar', 'beer', 'bon appetit mag', 'boulud', 'burgers', 'charcuterie', 'comfort food', 'daniel boulud', 'french', 'gilles verot', 'gossip girl', 'michters', 'mussels', 'october fest', 'outdoor', 'outdoors', 'piggie', 'puma social hot spot', 'sausage', 'bar', 'beer', 'bon appetit mag', 'boulud', 'burgers', 'charcuterie', 'comfort food', 'daniel boulud', 'french', 'gilles verot', 'gossip girl', 'michters', 'mussels', 'october fest', 'outdoor', 'outdoors', 'piggie', 'puma social hot spot', 'sausage', 'cafe', 'coffee', 'free wifi', 'tube sandwiches', 'rustic', 'taavo somer', 'rustic', 'taavo somer', 'bakery', 'cupcake', 'neue pop organic caf\xef\xbf\xbd\xef\xbf\xbd', 'pastries', 'red hook', 'salty caramel cupcakes', 'stumptown', 'zagat rated', 'zagat-rated', 'amazing cocktails', 'beignet', 'brooklyn', 'brussel sprouts', 'choice eats', 'small plates', 'amazing cocktails', 'beignet', 'brooklyn', 'brussel sprouts', 'choice eats', 'small plates', 'beer', 'breakfast', 'cafe', 'coffee', 'coffee shop', 'fondue', 'salads', 'sandwiches', 'scrabble', 'tea', 'wifi', 'wine', 'basque', 'tapas', 'beer', 'bravo', 'brooklyn roasting company coffee', 'burger', 'burgers', 'coffee', 'doughnuts', 'homemade pickles', 'macaroni and cheese', 'milkshake', 'open late', 'polo dobkin', 'serendipitea', 'zagat-rated', 'beer', 'bravo', 'brooklyn roasting company coffee', 'burger', 'burgers', 'coffee', 'doughnuts', 'homemade pickles', 'macaroni and cheese', 'milkshake', 'open late', 'polo dobkin', 'serendipitea', 'zagat-rated', 'lobster roll', 'oysters', 'restaurant', 'seafood', 'sundae', 'west village', 'lobster roll', 'oysters', 'restaurant', 'seafood', 'sundae', 'west village', 'a la carte', 'cheap eats', 'chinese', 'dim sum all day', 'dimsum', 'dinner', 'egg rolls', 'lunch crowd', 'nom wah', 'soup buns', 'tea', 'a la carte', 'cheap eats', 'chinese', 'dim sum all day', 'dimsum', 'dinner', 'egg rolls', 'lunch crowd', 'nom wah', 'soup buns', 'tea', 'amex', 'cash only', 'cocktails made with care', 'organic steak', 'pretzels', ""simon's favorites"", 'sixpoint', 'spaetzle', 'spargel', 'stumptown', 'underberg', 'amex', 'cash only', 'cocktails made with care', 'organic steak', 'pretzels', ""simon's favorites"", 'sixpoint', 'spaetzle', 'spargel', 'stumptown', 'underberg', 'american', 'danny meyer', 'french', 'hiphostessnyc top pick', 'italian', 'pat lafrieda', 'zagat rated', 'cantonese', 'dim sum', 'cantonese', 'dim sum', 'brooklyn root beer', 'brookyln', 'comfort food', 'fried chicken', 'fried food', 'thrillist', 'timeoutny', 'cakes', 'coffee', 'cookies', 'good_mark', 'lunch', 'cocktails', 'colonial d\xef\xbf\xbd\xef\xbf\xbdcor', 'fort defiance', 'homemade seltzer water', 'new american', 'red hook', 'wsj lunch box', 'al pastor', 'byob', 'mexican food', 'tacos', 'tortas', 'al pastor', 'byob', 'mexican food', 'tacos', 'tortas', 'al pastor', 'byob', 'mexican food', 'tacos', 'tortas', 'bar', 'diner', 'karaoke', 'bar', 'diner', 'karaoke', 'bar', 'diner', 'karaoke', 'bar', 'diner', 'karaoke', 'bar', 'diner', 'karaoke', '3 michelin stars', 'bravo', 'eric ripert', 'fine dining', 'french', 'michelin star', 'rated by zagat', 'restaurant', 'seafood', 'wine', 'zagat rated', 'zagat-rated', 'bar', 'beijing duck', 'chinese', 'fine dining', 'restaurant', 'bar', 'beijing duck', 'chinese', 'fine dining', 'restaurant', 'brownies', 'chocolate', 'coffee', 'cupcakes', 'dessert', 'ice cream', 'tea', 'wine', ""world's best brownies"", 'fresh mozzerella', 'fried eggplant', 'locals', 'old school', 'proscuitto', 'sweet peppers', 'vegetarian friendly', 'lemonade', 'salad', 'wraps', 'american', 'burgers', 'cobble hill', 'organic', 'southern']"
30,[558],"[19178, 69953, 69953]","['bakery', 'brownies', 'cookies', 'cupcake', 'cupcakes', 'desserts', 'pudding', 'trendy', 'kosher', 'kosher']"
31,[570],"[476, 564, 602, 35260, 6793, 6793, 502393, 502393, 13921, 23989, 1372, 1372, 74896, 74896, 26797, 26797, 13233, 13233, 9652, 16349]","['bar', 'brazilian', 'coffee', 'coffee shop', 'diner', 'douchebag', 'manhattan', 'patio', 'socialite', 'union square', '24 hours', 'bravo', 'bravoandy', 'brunch', 'chicken & waffles', 'hangover', 'late night', 'mac and cheese', 'open 24 hours', 'outdoor seating', 'scene', 'steak & eggs', 'top chef', 'trendy', 'zagat-rated', 'asian fusion', 'black rice', 'cheap and tasty', 'communal tables', 'crowds', 'curry', 'food', 'manhattan', 'noise', 'noodles', 'pad thai', 'restaurant', 'tofu', 'vietnamese', 'art', 'bagels', 'benches', 'black cat espresso', 'brownies', 'clean spoons', 'coffee', 'cookies', 'friendly employees', 'friendly staff', 'handmade furniture', 'intelligentsia coffee', 'national geographic magazines', 'owner-operator', 'photos of people smoking while cycling', 'sandwiches', 'tables', 'wifi', '24 hour', 'bagels', '24 hour', 'bagels', 'sandwiches', 'sandwiches', 'baguette', ""baker's dozen"", 'bakery', 'bread', 'breakfast', 'brunch', 'cafe', 'coffee', 'cupcake', 'cupcake bakery', 'lunch', 'organic', 'pastries', 'retail', 'salads', 'vegan', 'vegetarian', 'bacon', 'bar', 'bourbon', 'brunch', 'cocktails', 'meaty', 'trendy', 'whiskey', 'pasta', 'pasta', 'bar', 'burrata', 'chili oil', 'decor', 'mcnally', 'nate appleman', 'new lunch spots', 'nymag', 'pizza', 'timeoutny', 'bar', 'burrata', 'chili oil', 'decor', 'mcnally', 'nate appleman', 'new lunch spots', 'nymag', 'pizza', 'timeoutny', 'bakery', 'cafe', 'coffee', 'pastries', 'bakery', 'cafe', 'coffee', 'pastries', 'cafe', 'cappuccino', 'coffee', 'douchebag', 'espresso', 'cafe', 'cappuccino', 'coffee', 'douchebag', 'espresso', 'art', 'classes', 'clover', 'coffee', 'coffee cupping', 'espresso', 'guest espresso', 'latte', 'merchandise', 'pastries', 'rocket espresso machine', 'synesso', 'table seating', 'tea', 'thiswasadupe', 'quick tasty sushi']"
32,[645],"[35085, 11884, 11884, 13984]","['andy cohen', 'bravo', 'coffee', 'douchbag', 'douchbags', 'fashionista', 'socialite', 'starbucks', '+happy hour', 'biodynamic wine', 'brunch', 'garden', 'local food', 'nightlife', 'organic', 'restaurant', 'seasonal', 'vinyl', '+happy hour', 'biodynamic wine', 'brunch', 'garden', 'local food', 'nightlife', 'organic', 'restaurant', 'seasonal', 'vinyl', 'cash only', 'coffee', 'cookie', 'dogs on the bench', 'espresso', 'hipsters', 'pastry', 'soft drinks', 'stumptown', 'tea', 'wifi']"
33,[670],"[17282, 17282, 12493, 12493, 52205, 52205, 25597, 25597, 25597, 25597, 25597, 25597, 25597, 25597, 25597, 78902, 9932, 9932, 12796, 12796, 24411, 24411, 5769, 5769]","['brooklyn', 'coffee', 'douchebag', 'douchebags', 'fresh coffee', 'hipster', 'iced coffee', 'lounge', 'pastries', 'restroom', 'starbuck', 'starbucks', 'strollers', 'tea', 'wi-fi', 'brooklyn', 'coffee', 'douchebag', 'douchebags', 'fresh coffee', 'hipster', 'iced coffee', 'lounge', 'pastries', 'restroom', 'starbuck', 'starbucks', 'strollers', 'tea', 'wi-fi', 'amex', 'cash only', 'cocktails made with care', 'organic steak', 'pretzels', ""simon's favorites"", 'sixpoint', 'spaetzle', 'spargel', 'stumptown', 'underberg', 'amex', 'cash only', 'cocktails made with care', 'organic steak', 'pretzels', ""simon's favorites"", 'sixpoint', 'spaetzle', 'spargel', 'stumptown', 'underberg', 'coffee', 'douchbags', 'starbucks', 'coffee', 'douchbags', 'starbucks', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'all you can eat', 'all you can eat sushi', 'japanese', 'prix fixe', 'sushi', 'sushi', ' seafood', ' buffet', ' good service', 'dim sum', 'dim sum', 'noodles', 'noodles', 'andy cohen', 'bravo', 'omakase', 'sea urchin', 'sushi', 'zagat-rated', 'andy cohen', 'bravo', 'omakase', 'sea urchin', 'sushi', 'zagat-rated', 'cheap eats', 'japanese', 'noodles', 'pho', 'shabu shabu', 'soup', 'vietnamese', 'cheap eats', 'japanese', 'noodles', 'pho', 'shabu shabu', 'soup', 'vietnamese']"
34,[738],"[13519, 13519, 17698, 9204, 4156, 12468, 12468, 3449, 52878]","['al fresco', 'beer', 'burgers', 'chicken', 'dessert', 'fish & chips', 'french fries', ""hell's kitchen"", 'ice-cream', 'milkshakes', 'omelette', 'onion rings', 'pat lafrieda', 'salad', 'shakes', 'shrimp', 'soup', 'sushi', 'zagat rated', 'zagat-rated', 'al fresco', 'beer', 'burgers', 'chicken', 'dessert', 'fish & chips', 'french fries', ""hell's kitchen"", 'ice-cream', 'milkshakes', 'omelette', 'onion rings', 'pat lafrieda', 'salad', 'shakes', 'shrimp', 'soup', 'sushi', 'zagat rated', 'zagat-rated', 'cart', 'chicken', 'chicken and rice', 'falafel', 'food truck', 'gyro', 'halal', 'kofta', 'lamb', 'rice', 'salad', 'street cart', 'yelp', 'burger', 'french fries', 'milkshakes', 'ronnybrook', 'amys bread', 'bakery', 'brownie', 'coffee', 'cup cake', 'espresso', 'event', 'food network', 'foodies', 'free wifi', 'google', 'ice cream', 'ivillage', 'kitchen supplies', 'market', 'mr youth', 'ny1', 'oxygen network', 'ronnybrook farm', 'salad', 'soup', 'sushi', 'tea', 'wheelchair access', 'wifi', 'bisque', 'clam chowder', 'fish market', 'lobster', 'lunch', 'seafood', 'seaweed salad', 'sushi', 'take-out', 'bisque', 'clam chowder', 'fish market', 'lobster', 'lunch', 'seafood', 'seaweed salad', 'sushi', 'take-out', 'amazing', 'arepa', 'cheap eats', 'good_mark', 'vegetarian friendly', 'venezuelan', 'brewery', 'zagat-rated']"
